id;acc;crs;name
266;0.9400;0.8077;miniature_poodle
267;1.0000;0.7741;standard_poodle
268;1.0000;0.8529;Mexican_hairless
269;0.9400;0.8080;timber_wolf___grey_wolf___gray_wolf___Canis_lupus
270;0.9800;0.7388;white_wolf___Arctic_wolf___Canis_lupus_tundrarum
271;0.9600;0.8190;red_wolf___maned_wolf___Canis_rufus___Canis_niger
272;0.9000;0.7234;coyote___prairie_wolf___brush_wolf___Canis_latrans
273;0.9000;0.7028;dingo___warrigal___warragal___Canis_dingo
274;0.9800;0.7610;dhole___Cuon_alpinus
275;1.0000;0.7904;African_hunting_dog___hyena_dog___Cape_hunting_dog___Lycaon_pictus
276;0.9800;0.6717;hyena___hyaena
277;0.9400;0.7709;red_fox___Vulpes_vulpes
278;0.9800;0.6951;kit_fox___Vulpes_macrotis
279;1.0000;0.7845;Arctic_fox___white_fox___Alopex_lagopus
280;0.9600;0.7440;grey_fox___gray_fox___Urocyon_cinereoargenteus
281;0.9600;0.8687;tabby___tabby_cat
282;0.9600;0.8546;tiger_cat
283;1.0000;0.9035;Persian_cat
284;0.9800;0.8948;Siamese_cat___Siamese
285;0.8800;0.7966;Egyptian_cat
286;0.9600;0.8261;cougar___puma___catamount___mountain_lion___painter___panther___Felis_concolor
287;0.9200;0.8211;lynx___catamount
288;1.0000;0.8702;leopard___Panthera_pardus
289;0.9800;0.8661;snow_leopard___ounce___Panthera_uncia
290;0.9800;0.8579;jaguar___panther___Panthera_onca___Felis_onca
291;1.0000;0.8790;lion___king_of_beasts___Panthera_leo
292;1.0000;0.8674;tiger___Panthera_tigris
293;0.9800;0.8005;cheetah___chetah___Acinonyx_jubatus
294;0.9600;0.7436;brown_bear___bruin___Ursus_arctos
295;1.0000;0.7224;American_black_bear___black_bear___Ursus_americanus___Euarctos_americanus
296;0.9800;0.6760;ice_bear___polar_bear___Ursus_Maritimus___Thalarctos_maritimus
297;0.9200;0.8065;sloth_bear___Melursus_ursinus___Ursus_ursinus
298;0.9400;0.6131;mongoose
299;0.9800;0.7102;meerkat___mierkat
300;0.9600;0.7741;tiger_beetle
301;0.9800;0.3423;ladybug___ladybeetle___lady_beetle___ladybird___ladybird_beetle
302;0.9600;0.8630;ground_beetle___carabid_beetle
303;0.9400;0.7881;long-horned_beetle___longicorn___longicorn_beetle
304;0.9800;0.4654;leaf_beetle___chrysomelid
305;0.9600;0.4106;dung_beetle
306;0.9600;0.7403;rhinoceros_beetle
307;1.0000;0.6618;weevil
308;0.9600;0.7283;fly
309;0.9800;0.4273;bee
310;0.9000;0.6670;ant___emmet___pismire
311;0.9600;0.7709;grasshopper___hopper
312;0.9800;0.7952;cricket
313;0.9600;0.7890;walking_stick___walkingstick___stick_insect
314;0.8400;0.5062;cockroach___roach
315;0.9400;0.8282;mantis___mantid
316;0.9800;0.7008;cicada___cicala
317;1.0000;0.6227;leafhopper
318;0.9400;0.7350;lacewing___lacewing_fly
319;1.0000;0.7274;dragonfly___darning_needle___devil's_darning_needle___sewing_needle___snake_feeder___snake_doctor___mosquito_hawk___skeeter_hawk
320;1.0000;0.6369;damselfly
321;0.9800;0.7073;admiral
322;1.0000;0.5256;ringlet___ringlet_butterfly
323;0.9400;0.5905;monarch___monarch_butterfly___milkweed_butterfly___Danaus_plexippus
324;1.0000;0.5607;cabbage_butterfly
325;1.0000;0.6432;sulphur_butterfly___sulfur_butterfly
326;1.0000;0.6798;lycaenid___lycaenid_butterfly
327;0.9800;0.7581;starfish___sea_star
328;0.9600;0.7495;sea_urchin
329;0.9200;0.6300;sea_cucumber___holothurian
330;0.9600;0.7113;wood_rabbit___cottontail___cottontail_rabbit
331;1.0000;0.6816;hare
332;1.0000;0.7875;Angora___Angora_rabbit
333;1.0000;0.7535;hamster
334;0.9400;0.7489;porcupine___hedgehog
335;0.9200;0.6712;fox_squirrel___eastern_fox_squirrel___Sciurus_niger
336;0.9200;0.5018;marmot
337;0.9800;0.6727;beaver
338;0.9600;0.7124;guinea_pig___Cavia_cobaya
339;0.9800;0.8286;sorrel
340;0.9800;0.7696;zebra
341;0.9200;0.6553;hog___pig___grunter___squealer___Sus_scrofa
342;0.9800;0.6913;wild_boar___boar___Sus_scrofa
343;0.9800;0.6805;warthog
344;0.9800;0.6714;hippopotamus___hippo___river_horse___Hippopotamus_amphibius
345;0.9600;0.6257;ox
346;0.9800;0.5900;water_buffalo___water_ox___Asiatic_buffalo___Bubalus_bubalis
347;0.9800;0.7051;bison
348;0.9800;0.7618;ram___tup
349;1.0000;0.6581;bighorn___bighorn_sheep___cimarron___Rocky_Mountain_bighorn___Rocky_Mountain_sheep___Ovis_canadensis
350;1.0000;0.6325;ibex___Capra_ibex
351;1.0000;0.5816;hartebeest
352;0.9800;0.6121;impala___Aepyceros_melampus
353;0.9800;0.5557;gazelle
354;0.9600;0.7163;Arabian_camel___dromedary___Camelus_dromedarius
355;0.9400;0.7960;llama
356;0.9800;0.7130;weasel
357;0.9400;0.5985;mink
358;0.9600;0.7605;polecat___fitch___foulmart___foumart___Mustela_putorius
359;1.0000;0.6717;black-footed_ferret___ferret___Mustela_nigripes
360;0.9600;0.7071;otter
361;0.9400;0.6739;skunk___polecat___wood_pussy
362;0.9800;0.7581;badger
363;0.9400;0.6522;armadillo
364;1.0000;0.7181;three-toed_sloth___ai___Bradypus_tridactylus
365;0.9600;0.8470;orangutan___orang___orangutang___Pongo_pygmaeus
366;0.9800;0.8593;gorilla___Gorilla_gorilla
367;0.9600;0.8306;chimpanzee___chimp___Pan_troglodytes
368;0.9400;0.8428;gibbon___Hylobates_lar
369;0.9600;0.8466;siamang___Hylobates_syndactylus___Symphalangus_syndactylus
370;0.9600;0.8071;guenon___guenon_monkey
371;0.9200;0.7681;patas___hussar_monkey___Erythrocebus_patas
372;1.0000;0.7610;baboon
373;0.9400;0.8191;macaque
374;0.9000;0.8220;langur
375;0.9400;0.7296;colobus___colobus_monkey
376;1.0000;0.7513;proboscis_monkey___Nasalis_larvatus
377;0.8600;0.7366;marmoset
378;0.9200;0.6320;capuchin___ringtail___Cebus_capucinus
379;0.9800;0.7265;howler_monkey___howler
380;0.9600;0.6694;titi___titi_monkey
381;0.9000;0.7357;spider_monkey___Ateles_geoffroyi
382;0.9200;0.7871;squirrel_monkey___Saimiri_sciureus
383;0.9600;0.7465;Madagascar_cat___ring-tailed_lemur___Lemur_catta
384;0.9800;0.6539;indri___indris___Indri_indri___Indri_brevicaudatus
385;0.9800;0.8009;Indian_elephant___Elephas_maximus
386;0.9800;0.8134;African_elephant___Loxodonta_africana
387;0.9600;0.7840;lesser_panda___red_panda___panda___bear_cat___cat_bear___Ailurus_fulgens
388;0.9600;0.7559;giant_panda___panda___panda_bear___coon_bear___Ailuropoda_melanoleuca
389;0.9400;0.6273;barracouta___snoek
390;0.8600;0.6667;eel
391;0.9800;0.4602;coho___cohoe___coho_salmon___blue_jack___silver_salmon___Oncorhynchus_kisutch
392;1.0000;0.5807;rock_beauty___Holocanthus_tricolor
393;0.9800;0.3755;anemone_fish
394;0.9800;0.5955;sturgeon
395;0.9400;0.5710;gar___garfish___garpike___billfish___Lepisosteus_osseus
396;0.9600;0.8595;lionfish
397;1.0000;0.7110;puffer___pufferfish___blowfish___globefish
398;0.8600;0.7657;abacus
399;0.9800;0.8384;abaya
400;0.9200;0.5918;academic_gown___academic_robe___judge's_robe
401;0.9200;0.5761;accordion___piano_accordion___squeeze_box
402;0.9200;0.6656;acoustic_guitar
