id;acc;crs;name
514;0.4800;0.5956;cowboy_boot
515;0.5800;0.3727;cowboy_hat___ten-gallon_hat
516;0.7000;0.7551;cradle
517;0.9000;0.6980;crane
518;0.9200;0.7294;crash_helmet
519;0.5800;0.6002;crate
520;0.8600;0.8095;crib___cot
521;0.8000;0.8176;Crock_Pot
522;0.8200;0.1929;croquet_ball
523;0.4000;0.3928;crutch
524;0.6200;0.6083;cuirass
525;0.7800;0.5390;dam___dike___dyke
526;0.8000;0.5976;desk
527;0.9000;0.6787;desktop_computer
528;0.7400;0.7982;dial_telephone___dial_phone
529;0.7600;0.1958;diaper___nappy___napkin
530;0.6400;0.5222;digital_clock
531;0.5400;0.6856;digital_watch
532;0.7800;0.6623;dining_table___board
533;0.8800;0.8033;dishrag___dishcloth
534;0.4800;0.6864;dishwasher___dish_washer___dishwashing_machine
535;0.9200;0.5750;disk_brake___disc_brake
536;0.8200;0.4061;dock___dockage___docking_facility
537;0.9600;0.4880;dogsled___dog_sled___dog_sleigh
538;0.8600;0.4827;dome
539;0.5400;0.5365;doormat___welcome_mat
540;0.8600;0.6473;drilling_platform___offshore_rig
541;0.5400;0.4055;drum___membranophone___tympan
542;0.5600;0.4529;drumstick
543;0.6600;0.2954;dumbbell
544;0.7400;0.7011;Dutch_oven
545;0.7400;0.8245;electric_fan___blower
546;0.7200;0.5879;electric_guitar
547;0.9400;0.6660;electric_locomotive
548;1.0000;0.6986;entertainment_center
549;0.6600;0.7012;envelope
550;0.9000;0.8225;espresso_maker
551;0.8000;0.5602;face_powder
