id;acc;crs;name
358;0.9600;0.7912;polecat___fitch___foulmart___foumart___Mustela_putorius
359;1.0000;0.7154;black-footed_ferret___ferret___Mustela_nigripes
360;0.9600;0.7424;otter
361;0.9400;0.6852;skunk___polecat___wood_pussy
362;0.9800;0.7882;badger
363;0.9400;0.6778;armadillo
364;1.0000;0.7275;three-toed_sloth___ai___Bradypus_tridactylus
365;0.9600;0.8621;orangutan___orang___orangutang___Pongo_pygmaeus
366;0.9800;0.8760;gorilla___Gorilla_gorilla
367;0.9600;0.8506;chimpanzee___chimp___Pan_troglodytes
368;0.9400;0.8616;gibbon___Hylobates_lar
369;0.9600;0.8709;siamang___Hylobates_syndactylus___Symphalangus_syndactylus
370;0.9600;0.8285;guenon___guenon_monkey
371;0.9200;0.7933;patas___hussar_monkey___Erythrocebus_patas
372;1.0000;0.7783;baboon
373;0.9400;0.8526;macaque
374;0.9000;0.8462;langur
375;0.9400;0.7475;colobus___colobus_monkey
376;1.0000;0.7656;proboscis_monkey___Nasalis_larvatus
377;0.8600;0.7638;marmoset
378;0.9200;0.6544;capuchin___ringtail___Cebus_capucinus
379;0.9800;0.7509;howler_monkey___howler
380;0.9600;0.6972;titi___titi_monkey
381;0.9000;0.7709;spider_monkey___Ateles_geoffroyi
382;0.9200;0.8038;squirrel_monkey___Saimiri_sciureus
383;0.9600;0.7655;Madagascar_cat___ring-tailed_lemur___Lemur_catta
384;0.9800;0.6737;indri___indris___Indri_indri___Indri_brevicaudatus
385;0.9800;0.8384;Indian_elephant___Elephas_maximus
386;0.9800;0.8355;African_elephant___Loxodonta_africana
387;0.9600;0.8029;lesser_panda___red_panda___panda___bear_cat___cat_bear___Ailurus_fulgens
388;0.9600;0.7736;giant_panda___panda___panda_bear___coon_bear___Ailuropoda_melanoleuca
389;0.9400;0.6342;barracouta___snoek
390;0.8600;0.6867;eel
391;0.9800;0.4689;coho___cohoe___coho_salmon___blue_jack___silver_salmon___Oncorhynchus_kisutch
392;1.0000;0.5744;rock_beauty___Holocanthus_tricolor
393;0.9800;0.3694;anemone_fish
394;0.9800;0.6255;sturgeon
395;0.9400;0.5904;gar___garfish___garpike___billfish___Lepisosteus_osseus
396;0.9600;0.8565;lionfish
397;1.0000;0.7068;puffer___pufferfish___blowfish___globefish
398;0.8600;0.7931;abacus
399;0.9800;0.8648;abaya
400;0.9200;0.6010;academic_gown___academic_robe___judge's_robe
401;0.9200;0.6001;accordion___piano_accordion___squeeze_box
402;0.9200;0.6605;acoustic_guitar
403;0.9800;0.7128;aircraft_carrier___carrier___flattop___attack_aircraft_carrier
404;1.0000;0.6915;airliner
405;0.8800;0.3043;airship___dirigible
406;0.9600;0.7318;altar
407;0.9800;0.9011;ambulance
408;0.9200;0.7846;amphibian___amphibious_vehicle
409;0.9800;0.7834;analog_clock
410;0.9400;0.5766;apiary___bee_house
411;0.9000;0.8456;apron
412;0.9000;0.6801;ashcan___trash_can___garbage_can___wastebin___ash_bin___ash-bin___ashbin___dustbin___trash_barrel___trash_bin
413;0.9200;0.6224;assault_rifle___assault_gun
414;0.7000;0.7457;backpack___back_pack___knapsack___packsack___rucksack___haversack
415;0.7400;0.8180;bakery___bakeshop___bakehouse
416;1.0000;0.2206;balance_beam___beam
417;0.9800;0.6393;balloon
418;0.9400;0.6316;ballpoint___ballpoint_pen___ballpen___Biro
419;0.9400;0.3510;Band_Aid
420;1.0000;0.7435;banjo
421;0.9600;0.8179;bannister___banister___balustrade___balusters___handrail
422;0.9400;0.4510;barbell
423;0.9800;0.6534;barber_chair
424;0.9200;0.8938;barbershop
425;0.9600;0.6827;barn
426;1.0000;0.8516;barometer
427;0.9200;0.7373;barrel___cask
428;0.9000;0.7537;barrow___garden_cart___lawn_cart___wheelbarrow
429;0.9800;0.3439;baseball
430;0.9800;0.0567;basketball
431;0.9200;0.9253;bassinet
432;1.0000;0.6441;bassoon
433;0.9400;0.1851;bathing_cap___swimming_cap
434;0.8400;0.8569;bath_towel
435;0.9000;0.7302;bathtub___bathing_tub___bath___tub
436;0.8200;0.7972;beach_wagon___station_wagon___wagon___estate_car___beach_waggon___station_waggon___waggon
437;0.9400;0.2774;beacon___lighthouse___beacon_light___pharos
438;0.7600;0.6471;beaker
439;0.9400;0.1763;bearskin___busby___shako
440;0.9200;0.6356;beer_bottle
441;0.9600;0.6891;beer_glass
442;1.0000;0.3164;bell_cote___bell_cot
443;0.8600;0.7410;bib
444;0.9800;0.7982;bicycle-built-for-two___tandem_bicycle___tandem
445;0.9000;0.4611;bikini___two-piece
446;0.9400;0.8700;binder___ring-binder
447;0.8600;0.4651;binoculars___field_glasses___opera_glasses
448;0.9600;0.7554;birdhouse
449;1.0000;0.4438;boathouse
450;0.9800;0.5574;bobsled___bobsleigh___bob
451;0.9200;0.8483;bolo_tie___bolo___bola_tie___bola
452;0.8800;0.7623;bonnet___poke_bonnet
453;0.9200;0.8349;bookcase
454;0.8800;0.9425;bookshop___bookstore___bookstall
455;0.8800;0.4770;bottlecap
456;0.8600;0.6378;bow
457;0.9600;0.2614;bow_tie___bow-tie___bowtie
458;0.9600;0.6886;brass___memorial_tablet___plaque
459;0.8400;0.5077;brassiere___bra___bandeau
460;0.9400;0.5137;breakwater___groin___groyne___mole___bulwark___seawall___jetty
461;0.9400;0.7129;breastplate___aegis___egis
462;0.9000;0.7343;broom
463;0.8600;0.7115;bucket___pail
464;0.7400;0.5165;buckle
465;0.8200;0.6353;bulletproof_vest
466;1.0000;0.6575;bullet_train___bullet
467;1.0000;0.9017;butcher_shop___meat_market
468;0.9200;0.7136;cab___hack___taxi___taxicab
469;0.8400;0.6650;caldron___cauldron
470;0.7000;0.3131;candle___taper___wax_light
471;0.9600;0.7098;cannon
472;1.0000;0.3259;canoe
473;0.9200;0.7342;can_opener___tin_opener
474;0.9000;0.8365;cardigan
475;0.9600;0.7152;car_mirror
476;1.0000;0.9104;carousel___carrousel___merry-go-round___roundabout___whirligig
477;0.7800;0.8968;carpenter's_kit___tool_kit
478;0.7200;0.8133;carton
479;0.9800;0.4362;car_wheel
480;0.9200;0.7026;cash_machine___cash_dispenser___automated_teller_machine___automatic_teller_machine___automated_teller___automatic_teller___ATM
481;0.9000;0.5620;cassette
482;0.9800;0.8662;cassette_player
483;0.9000;0.7557;castle
484;0.9600;0.7412;catamaran
485;0.8600;0.7461;CD_player
486;0.9600;0.6950;cello___violoncello
487;0.9200;0.6980;cellular_telephone___cellular_phone___cellphone___cell___mobile_phone
488;0.8600;0.6422;chain
489;0.8800;0.8578;chainlink_fence
490;0.9400;0.8622;chain_mail___ring_mail___mail___chain_armor___chain_armour___ring_armor___ring_armour
491;0.9800;0.5623;chain_saw___chainsaw
492;0.9400;0.9173;chest
493;0.6800;0.8571;chiffonier___commode
494;0.8800;0.6392;chime___bell___gong
495;0.9600;0.8474;china_cabinet___china_closet
496;1.0000;0.8457;Christmas_stocking
497;0.9400;0.8234;church___church_building
498;0.8800;0.9078;cinema___movie_theater___movie_theatre___movie_house___picture_palace
499;0.9000;0.5560;cleaver___meat_cleaver___chopper
500;1.0000;0.5186;cliff_dwelling
501;0.7000;0.7257;cloak
502;0.9000;0.7313;clog___geta___patten___sabot
503;0.8600;0.6755;cocktail_shaker
504;0.7800;0.7309;coffee_mug
505;0.8800;0.7704;coffeepot
506;0.9400;0.8888;coil___spiral___volute___whorl___helix
507;0.9200;0.7157;combination_lock
508;0.8600;0.7781;computer_keyboard___keypad
509;0.9200;0.8544;confectionery___confectionary___candy_store
510;1.0000;0.6769;container_ship___containership___container_vessel
511;1.0000;0.7957;convertible
512;1.0000;0.8426;corkscrew___bottle_screw
513;0.9800;0.5012;cornet___horn___trumpet___trump
514;0.9000;0.6670;cowboy_boot
515;0.9000;0.5092;cowboy_hat___ten-gallon_hat
516;0.8600;0.8484;cradle
517;0.9400;0.7654;crane
518;0.9800;0.8166;crash_helmet
519;0.8400;0.6972;crate
520;1.0000;0.8954;crib___cot
521;0.9200;0.8778;Crock_Pot
522;1.0000;0.2270;croquet_ball
523;0.8200;0.5117;crutch
524;0.9200;0.6849;cuirass
525;0.9400;0.6613;dam___dike___dyke
526;0.9200;0.6970;desk
527;0.9800;0.7034;desktop_computer
528;0.9600;0.8843;dial_telephone___dial_phone
529;0.9000;0.2655;diaper___nappy___napkin
530;0.8800;0.6268;digital_clock
531;0.8800;0.7921;digital_watch
